@relation 'chicago_listings - cleaned-weka.filters.unsupervised.instance.RemovePercentage-P70.0-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R1-2'

@attribute room_type {'Private room','Entire home/apt','Shared room','Hotel room'}
@attribute number_of_reviews numeric
@attribute reviews_per_month numeric
@attribute calculated_host_listings_count numeric
@attribute availability_365 numeric
@attribute number_of_reviews_ltm numeric
@attribute days_since_last_review numeric
@attribute dist_from_airport_in_miles numeric
@attribute dist_from_subway_in_miles numeric
@attribute dist_from_city_center numeric
@attribute price numeric

@data
'Entire home/apt',8,2.73,1,343,8,37,8.768604,0.266666,7.390059,287
'Entire home/apt',14,2.35,10,79,14,59,10.146964,0.360219,6.87395,298
'Entire home/apt',3,0.48,1,39,3,164,10.47519,0.600057,1.274184,135
'Entire home/apt',17,2.14,1,353,17,43,10.298115,0.433126,6.131874,353
'Entire home/apt',3,0.43,57,286,3,129,9.225595,0.145232,5.900924,147
'Entire home/apt',11,1.38,57,325,11,84,9.264487,0.21766,6.070017,132
'Entire home/apt',20,2.91,57,283,20,52,9.121846,0.082383,5.65607,133
'Entire home/apt',0,0,525,308,0,-1,10.873497,0.384395,2.073266,193
'Entire home/apt',0,0,525,191,0,-1,10.873497,0.384395,2.073266,179
'Entire home/apt',32,3.95,2,83,32,44,9.831669,0.302956,5.039243,118
'Entire home/apt',1,0.34,1,342,1,122,11.872288,0.58138,3.961618,200
'Entire home/apt',4,4,1,229,4,44,13.212487,0.280615,6.967799,180
'Entire home/apt',0,0,1,343,0,-1,8.422682,0.300805,1.426417,501
'Private room',2,0.3,18,270,2,66,5.653598,1.132353,5.467097,40
'Entire home/apt',21,4.38,1,247,21,44,7.78128,0.395615,3.538869,309
'Entire home/apt',45,5.92,1,135,45,47,7.889766,0.337575,2.094074,138
'Entire home/apt',6,1.01,1,0,6,79,8.02717,0.342935,7.217841,210
'Entire home/apt',5,1.09,2,359,5,79,7.182259,0.243792,4.540684,314
'Entire home/apt',0,0,23,97,0,-1,9.503824,0.051382,0.56082,276
'Entire home/apt',13,1.77,10,85,13,74,10.549629,0.383513,6.341449,450
'Entire home/apt',11,1.78,1,78,11,74,10.063365,0.155957,1.124027,214
'Entire home/apt',1,1,1,359,1,44,7.544354,0.007714,3.914605,171
'Entire home/apt',26,3.79,1,333,26,52,9.462449,0.21585,3.197375,268
'Entire home/apt',0,0,1,90,0,-1,8.21051,0.155006,1.164504,129
'Entire home/apt',38,4.96,1,332,38,44,9.513161,0.197371,7.785187,150
'Entire home/apt',26,6.39,3,155,26,38,10.384314,0.454137,5.250505,185
'Entire home/apt',8,3.33,1,278,8,49,8.368648,0.621941,4.829434,99
'Private room',0,0,1,320,0,-1,9.599614,0.567211,5.690637,75
'Shared room',5,1.32,7,348,5,80,9.203088,0.37971,8.440465,30
'Entire home/apt',0,0,3,293,0,-1,9.937886,0.221159,0.708392,233
'Entire home/apt',9,1.36,13,118,9,45,10.924598,0.168645,3.270211,545
'Entire home/apt',16,2.91,1,164,16,37,8.510932,2.383184,13.749843,79
'Entire home/apt',13,2.01,10,78,13,86,11.943728,0.077442,4.423904,337
'Entire home/apt',81,10.7,10,76,81,52,12.494088,0.426508,4.787126,153
'Entire home/apt',1,0.21,3,309,1,178,6.693091,0.605821,3.098372,149
'Entire home/apt',30,4.09,11,196,30,59,9.632692,0.24107,4.330891,674
'Entire home/apt',3,0.5,3,244,3,36,10.044753,0.315478,0.815679,165
'Entire home/apt',10,1.66,8,328,10,52,9.938738,0.042196,0.954335,695
'Entire home/apt',8,1.3,8,259,8,67,9.938738,0.042196,0.954335,997
'Entire home/apt',2,0.55,3,231,2,60,6.667449,0.532053,3.233406,105
'Entire home/apt',7,1.23,8,322,7,65,10.01768,0.069394,1.018439,656
'Private room',2,0.53,1,201,2,65,9.639507,0.061362,0.412336,65
'Entire home/apt',15,2.36,10,66,15,52,7.667799,0.660928,7.781298,404
'Entire home/apt',28,3.62,18,51,28,37,11.550261,0.668557,3.52433,172
'Entire home/apt',0,0,1,180,0,-1,7.262671,0.499872,10.023592,230
'Entire home/apt',0,0,1,365,0,-1,4.794287,1.107745,10.345934,141
'Entire home/apt',30,3.17,1,308,30,38,8.980724,0.159146,6.02039,87
'Entire home/apt',16,1.91,1,334,16,58,10.50195,0.337306,3.621057,418
'Private room',20,2.2,1,1,20,59,12.269892,0.507585,4.476509,139
'Entire home/apt',3,0.35,1,197,3,58,12.173435,0.454343,6.3329,215
'Entire home/apt',21,3.32,1,304,21,44,8.444743,0.12887,2.514841,85
'Private room',16,2.49,1,344,16,65,8.782142,1.226444,5.013894,152
'Entire home/apt',1,0.15,21,361,1,233,9.675656,0.224367,1.070127,300
'Entire home/apt',0,0,525,241,0,-1,8.483949,0.087672,0.977155,311
'Entire home/apt',1,0.23,1,120,1,167,9.845901,0.013793,7.391625,73
'Entire home/apt',30,3.91,36,348,30,52,10.841713,0.535748,3.768996,276
'Entire home/apt',27,3.68,36,352,27,52,10.945148,0.588185,3.896527,276
'Entire home/apt',2,0.33,36,345,2,38,10.861835,0.598377,3.841003,1042
'Entire home/apt',2,0.48,3,322,2,106,11.314958,1.430259,9.171792,100
'Entire home/apt',26,4.19,4,326,26,43,6.905984,0.342151,3.060828,264
'Entire home/apt',27,3.79,6,204,27,50,8.36464,0.2071,2.487958,239
'Entire home/apt',38,4.98,2,35,38,52,6.529739,0.202239,2.743209,97
'Entire home/apt',25,4.03,2,50,25,54,6.457145,0.253873,2.807733,99
'Entire home/apt',28,3.94,1,192,28,45,11.226356,0.452604,4.093798,127
'Entire home/apt',8,1.16,4,347,8,44,5.623818,0.556624,3.649094,214
'Entire home/apt',21,2.76,10,74,21,54,12.336952,0.439338,4.641025,134
'Entire home/apt',1,0.46,5,328,1,99,9.175828,0.174995,2.69141,190
'Entire home/apt',25,3.75,1,12,25,43,11.651252,0.46373,5.498961,141
'Private room',33,4.67,2,5,33,45,7.586642,0.161559,1.686976,109
'Entire home/apt',1,1,1,356,1,44,6.162078,0.520108,4.166218,159
'Entire home/apt',1,1,1,331,1,38,9.410675,0.125638,0.52689,175
'Entire home/apt',4,0.1,34,9,1,76,9.835368,0.401145,1.606677,141
'Entire home/apt',14,2.37,57,316,14,62,8.897915,0.579453,3.230671,154
'Entire home/apt',4,0.56,2,347,4,107,7.735999,0.214688,2.351911,262
'Entire home/apt',20,3.28,1,144,20,37,6.960318,0.311783,3.410963,191
'Entire home/apt',25,5.77,1,326,25,38,10.824501,0.282677,2.558855,193
'Entire home/apt',24,3.73,1,194,24,44,13.186729,0.282869,8.138665,300
'Private room',15,2.76,4,39,15,73,5.859452,0.3268,3.549179,50
'Entire home/apt',7,1.71,1,360,7,81,7.50612,0.134058,4.180252,261
'Entire home/apt',1,0.16,5,45,1,222,9.142966,0.821833,4.914883,10000
'Entire home/apt',35,4.59,1,20,35,38,10.670994,0.193459,6.351364,119
'Entire home/apt',8,0.39,34,226,6,52,8.743719,0.18192,0.942791,221
'Private room',0,0,10,355,0,-1,7.15768,0.115531,4.342581,85
'Entire home/apt',0,0,525,331,0,-1,10.424841,0.308786,3.38301,141
'Entire home/apt',0,0,525,315,0,-1,10.424841,0.308786,3.38301,140
'Entire home/apt',0,0,525,354,0,-1,10.424841,0.308786,3.38301,203
'Entire home/apt',0,0,525,277,0,-1,10.424841,0.308786,3.38301,118
'Entire home/apt',12,3.56,1,295,12,38,13.29057,0.238565,8.475295,256
'Entire home/apt',85,2.42,34,2,44,54,8.929348,0.181444,0.370917,340
'Entire home/apt',30,5.39,1,155,30,38,9.330328,0.613229,4.875725,161
'Entire home/apt',0,0,36,319,0,-1,8.566301,0.343158,1.1443,349
'Entire home/apt',0,0,2,365,0,-1,8.728434,0.502242,2.934391,400
'Entire home/apt',0,0,36,353,0,-1,9.988613,0.028016,0.976788,189
'Entire home/apt',19,3.06,1,143,19,54,7.288139,0.34859,11.807632,80
'Private room',16,2.3,3,356,16,37,9.819199,0.77443,12.087084,54
'Entire home/apt',19,2.95,1,80,19,38,10.452036,0.568118,7.245889,181
'Entire home/apt',0,0,23,34,0,-1,10.251367,0.353996,1.08634,496
'Entire home/apt',32,4.85,1,121,32,54,12.156561,0.284672,4.523376,515
'Entire home/apt',0,0,525,302,0,-1,10.424841,0.308786,3.38301,190
'Entire home/apt',0,0,525,325,0,-1,13.497734,0.047254,6.421003,137
'Entire home/apt',1,0.45,525,318,1,101,13.497734,0.047254,6.421003,138
'Entire home/apt',1,0.22,525,305,1,172,13.497734,0.047254,6.421003,141
'Entire home/apt',0,0,525,0,0,-1,13.497734,0.047254,6.421003,138
'Entire home/apt',0,0,23,20,0,-1,10.412167,0.561489,1.207898,203
'Entire home/apt',26,3.5,3,326,26,38,9.625732,0.018515,0.406669,327
'Entire home/apt',9,1.26,8,261,9,71,10.007477,0.047403,0.996087,373
'Entire home/apt',16,0.51,34,332,8,59,8.689984,0.324772,1.089498,309
'Entire home/apt',55,1.05,34,2,9,62,9.788993,0.47767,1.647787,234
'Private room',1,0.19,1,81,1,191,9.218059,0.259792,3.297547,54
'Entire home/apt',27,4.58,7,316,27,61,9.084803,0.363621,2.923699,88
'Entire home/apt',17,2.41,3,356,17,52,13.475939,0.068231,7.831008,182
'Entire home/apt',0,0,525,319,0,-1,13.497734,0.047254,6.421003,121
'Entire home/apt',2,0.44,8,325,2,42,9.967617,0.00989,0.938874,587
'Private room',3,0.89,1,331,3,41,10.560306,0.615791,5.259071,150
'Entire home/apt',18,2.98,1,70,18,59,12.269104,0.237572,5.02445,440
'Shared room',3,0.49,17,160,3,91,12.134212,0.798236,10.062192,27
'Entire home/apt',26,3.63,13,51,26,39,9.603536,0.14368,3.390092,353
'Entire home/apt',11,4.85,2,348,11,38,8.909979,0.156782,6.05774,116
'Entire home/apt',0,0,525,334,0,-1,8.483949,0.087672,0.977155,223
'Entire home/apt',0,0,525,304,0,-1,8.483949,0.087672,0.977155,161
'Entire home/apt',5,0.94,8,301,5,65,9.897812,0.057045,0.878017,453
'Entire home/apt',13,4.81,1,293,13,37,9.085442,0.446008,3.571206,178
'Private room',32,4.64,14,340,32,38,7.791815,0.404069,2.152778,70
'Entire home/apt',3,0.58,8,287,3,131,9.987208,0.101954,1.029918,462
'Entire home/apt',41,5.94,1,88,41,41,10.751741,0.291287,2.902243,249
'Entire home/apt',19,3.54,1,304,19,59,7.416759,0.276436,2.894382,400
'Private room',25,3.77,14,328,25,37,7.722323,0.47692,2.221179,70
'Private room',42,5.94,14,330,42,38,7.858353,0.351256,2.10351,68
'Entire home/apt',5,2.05,1,352,5,73,5.531649,1.107706,9.1542,203
'Entire home/apt',23,3.79,2,190,23,54,11.291696,0.632163,6.6554,93
'Private room',30,4.37,14,333,30,52,7.804616,0.428181,2.180007,70
'Private room',18,2.62,2,76,18,66,10.330205,0.185511,1.28853,657
'Entire home/apt',7,1.75,8,338,7,52,9.99936,0.08116,1.02215,424
'Private room',29,4.1,8,358,29,42,6.702662,0.722859,3.309761,52
'Private room',15,2.5,8,355,15,73,6.548161,0.847044,3.437912,46
'Private room',31,4.35,8,342,31,50,6.682035,0.758213,3.297859,49
'Private room',30,4.23,8,349,30,52,6.642763,0.744131,3.405347,50
'Entire home/apt',1,0.21,8,279,1,178,7.931749,0.248905,1.304839,127
'Entire home/apt',0,0,8,284,0,-1,7.931749,0.248905,1.304839,127
'Entire home/apt',1,1,8,315,1,56,7.931749,0.248905,1.304839,127
'Entire home/apt',2,0.59,8,308,2,104,7.931749,0.248905,1.304839,127
'Entire home/apt',34,4.81,1,64,34,58,8.74387,0.494934,2.217643,231
'Entire home/apt',38,5.48,1,29,38,59,9.733307,0.33528,5.01051,144
'Private room',40,5.8,14,312,40,43,7.641502,0.524934,2.253172,45
'Private room',34,4.77,14,316,34,53,7.640309,0.527463,2.256002,47
'Private room',7,1.84,1,78,7,44,6.384507,0.964789,3.868593,41
'Private room',1,0.79,2,311,1,72,4.970262,0.575083,6.523424,38
'Private room',19,3.06,14,351,19,40,6.4073,0.965021,3.567008,43
'Private room',12,2.31,22,353,12,44,6.331962,1.033932,3.629263,41
'Private room',3,0.48,22,270,3,208,6.492379,0.893238,3.487598,51
'Entire home/apt',0,0,1,365,0,-1,12.352965,0.51104,9.04016,131
'Private room',7,1.3,22,352,7,102,6.401373,0.960837,3.598836,40
'Private room',10,1.54,22,340,10,65,6.503561,0.889553,3.466035,45
'Entire home/apt',4,0.68,1,41,4,44,5.141072,0.403806,4.098548,215
'Entire home/apt',14,2.56,1,170,14,69,11.104093,1.721811,10.318428,154
'Entire home/apt',27,7.94,1,334,27,41,9.277332,0.170102,2.53711,188
'Entire home/apt',23,3.3,4,338,23,38,8.884328,0.070194,0.643221,166
'Private room',5,2.63,3,40,5,60,7.602921,0.519268,2.499762,49
'Private room',26,3.75,14,340,26,67,6.400915,0.939914,3.698753,40
'Private room',24,3.58,14,278,24,43,6.334001,1.00993,3.716328,45
'Entire home/apt',0,0,525,323,0,-1,10.001269,0.569006,1.884154,134
'Entire home/apt',0,0,525,330,0,-1,10.001269,0.569006,1.884154,232
'Entire home/apt',0,0,525,252,0,-1,10.460359,0.61569,1.250546,156
'Entire home/apt',0,0,525,296,0,-1,10.001269,0.569006,1.884154,142
'Entire home/apt',19,2.92,1,40,19,43,8.559599,0.460571,7.426006,128
'Entire home/apt',30,4.5,1,37,30,49,8.348753,0.528224,2.595573,135
'Entire home/apt',6,1.05,1,71,6,96,10.323685,0.046449,2.528434,292
'Entire home/apt',57,3.23,34,333,28,63,9.588517,0.103769,0.359659,280
'Entire home/apt',6,0.94,1,256,6,150,9.875651,0.286875,12.103659,120
'Entire home/apt',43,6.68,20,157,43,37,9.196365,0.048026,0.143382,418
'Entire home/apt',1,0.45,8,235,1,101,7.99496,0.311887,1.240343,127
'Entire home/apt',42,0.81,34,3,11,78,9.777583,0.497454,1.658973,237
'Entire home/apt',29,0.56,34,3,7,65,9.92887,0.465498,1.713785,269
'Entire home/apt',1,0.22,34,250,1,171,9.157996,0.016567,0.096947,215
'Private room',23,3.59,14,343,23,53,7.643783,0.522832,2.251403,117
'Entire home/apt',4,0.65,2,341,4,101,7.247707,0.609479,1.992255,601
'Entire home/apt',18,3.12,1,151,18,41,8.044852,0.054944,1.723595,200
'Private room',35,5.02,4,331,35,51,5.676108,0.518127,3.762906,42
'Entire home/apt',55,8.68,2,142,55,41,8.830487,0.379577,1.130844,246
'Entire home/apt',2,0.58,4,330,2,53,8.942367,0.669635,3.745574,122
'Entire home/apt',11,1.99,19,346,11,57,12.95893,0.412692,7.917882,169
'Entire home/apt',29,4.51,2,233,29,44,11.556811,0.56859,3.630927,400
'Entire home/apt',11,2.39,2,10,11,50,13.647649,0.195924,6.476894,84
'Entire home/apt',28,8.16,6,306,28,38,12.131054,0.234757,4.981863,114
'Entire home/apt',2,0.38,8,311,2,154,9.863538,0.180056,4.604623,115
'Entire home/apt',1,0.31,8,286,1,132,9.810803,0.250327,4.525873,115
'Entire home/apt',2,0.47,8,310,2,57,9.863538,0.180056,4.604623,115
'Entire home/apt',40,1.77,34,319,23,51,8.752305,0.19299,0.957206,424
'Entire home/apt',241,7.1,34,348,126,54,8.690627,0.283119,1.04479,334
'Entire home/apt',64,1.91,34,327,20,52,8.709549,0.233741,0.993368,359
'Entire home/apt',45,0.86,34,0,15,58,9.869327,0.556455,1.766172,240
'Entire home/apt',91,1.75,34,0,10,111,9.825173,0.38429,1.584623,218
'Entire home/apt',100,2.97,34,360,47,70,8.501084,0.071477,0.92774,379
'Entire home/apt',234,6.92,34,356,116,51,8.71679,0.22137,0.981022,337
'Entire home/apt',2,0.44,1,355,2,53,7.596344,0.418921,1.8587,100
'Entire home/apt',0,0,1,363,0,-1,8.77297,0.20713,0.973627,75
'Entire home/apt',249,5.19,34,358,66,52,9.14439,0.104361,0.194603,507
'Entire home/apt',62,1.85,34,313,34,65,8.79997,0.20116,0.966523,377
'Private room',17,2.97,14,350,17,45,6.332175,1.03703,3.513653,43
'Private room',28,4.42,14,321,28,55,7.703145,0.486687,2.227632,45
'Entire home/apt',0,0,525,189,0,-1,10.460359,0.61569,1.250546,158
'Entire home/apt',0,0,525,286,0,-1,10.460359,0.61569,1.250546,177
'Entire home/apt',0,0,525,255,0,-1,10.001269,0.569006,1.884154,181
'Entire home/apt',0,0,525,337,0,-1,10.460359,0.61569,1.250546,166
'Entire home/apt',1,0.22,525,277,1,172,10.001269,0.569006,1.884154,189
'Entire home/apt',0,0,525,294,0,-1,10.460359,0.61569,1.250546,157
'Entire home/apt',24,3.98,1,323,24,39,10.778373,0.209556,3.296307,376
'Entire home/apt',47,1.41,34,323,27,59,8.753998,0.330017,1.095395,497
'Entire home/apt',8,1.16,1,330,8,156,11.495494,0.372826,4.679203,176
'Entire home/apt',2,0.62,1,161,2,77,10.123236,0.082741,1.198146,125
'Entire home/apt',3,0.97,1,154,3,37,9.202022,0.361197,3.117446,216
'Entire home/apt',9,1.3,2,198,9,58,5.634962,1.148934,5.472991,80
'Entire home/apt',3,0.45,2,257,3,213,6.497502,0.272597,6.002409,125
'Entire home/apt',32,4.97,9,230,32,52,9.220247,0.012726,0.073937,131
'Entire home/apt',7,2.59,1,327,7,45,10.953544,0.161527,7.443298,194
'Entire home/apt',11,1.71,2,157,11,67,5.73733,1.056603,5.444909,84
'Entire home/apt',0,0,1,313,0,-1,7.032724,0.118524,3.16855,87
'Entire home/apt',39,6.36,1,222,39,37,11.676805,0.180671,4.340186,237
'Entire home/apt',37,5.44,1,45,37,45,8.925185,0.05469,0.675019,133
'Private room',1,0.22,10,321,1,172,9.995137,0.205903,1.106911,1375
'Private room',1,0.16,10,321,1,220,9.916266,0.22719,1.067049,917
'Private room',2,0.55,10,321,2,142,9.979093,0.151604,1.192711,459
'Entire home/apt',0,0,36,342,0,-1,9.970659,0.135864,0.86283,179
'Entire home/apt',18,3.29,3,268,18,43,10.339691,0.539984,7.132703,149
'Entire home/apt',69,11.13,34,360,69,52,9.556607,0.098871,0.332253,285
'Entire home/apt',68,2.06,34,290,29,56,8.769921,0.199332,0.965663,320
'Entire home/apt',21,3.84,34,341,21,66,9.630422,0.05372,0.403812,450
'Entire home/apt',48,7.91,34,340,48,59,9.541342,0.083665,0.317795,387
'Entire home/apt',40,1.15,34,224,14,51,8.575593,0.180245,0.939124,327
'Entire home/apt',24,0.59,34,226,5,213,9.172006,0.003097,0.077605,323
'Entire home/apt',37,5.81,20,181,37,40,9.280909,0.014506,0.099456,317
'Entire home/apt',11,2.41,1,62,11,57,9.453786,0.797113,8.381546,128
'Entire home/apt',0,0,1,73,0,-1,9.527975,0.070539,0.30283,358
'Entire home/apt',2,0.57,35,317,2,89,7.074621,0.54288,2.156796,84
'Entire home/apt',0,0,1,311,0,-1,9.170872,1.587098,12.958428,87
'Entire home/apt',6,1.09,2,78,6,51,8.976293,0.325314,2.029809,353
'Entire home/apt',15,2.42,2,348,15,44,7.663673,0.150565,4.008714,258
'Entire home/apt',3,1.06,3,361,3,39,6.944726,0.401163,2.958818,110
'Entire home/apt',17,5,1,144,17,36,5.925963,0.307962,3.371404,190
'Entire home/apt',0,0,525,319,0,-1,10.460359,0.61569,1.250546,135
'Entire home/apt',0,0,525,271,0,-1,10.460359,0.61569,1.250546,236
'Entire home/apt',0,0,525,344,0,-1,9.451201,0.139692,0.601311,163
'Entire home/apt',38,5.91,6,133,38,36,7.518381,0.211945,1.749379,332
'Private room',0,0,1,138,0,-1,6.373148,0.673545,4.399866,37
'Entire home/apt',59,1.24,34,320,21,62,9.229685,0.028159,0.086643,572
'Entire home/apt',114,6.54,34,358,59,50,9.618529,0.039897,0.393563,238
'Private room',17,2.51,4,135,17,58,12.365017,0.29863,5.150472,85
'Entire home/apt',0,0,23,90,0,-1,9.554832,0.06289,0.455464,313
'Entire home/apt',1,0.64,1,362,1,81,4.281529,0.750545,5.570495,109
'Entire home/apt',24,4.8,1,141,24,44,7.558373,0.145942,4.055941,161
'Entire home/apt',7,2.84,1,317,7,37,9.555346,0.196793,2.801422,493
'Private room',27,4.2,14,340,27,44,7.79423,0.397409,2.145792,71
'Entire home/apt',15,2.5,1,344,15,45,9.396708,0.242004,8.238053,150
'Entire home/apt',2,0.56,2,35,2,40,12.266946,0.460898,9.247054,86
'Entire home/apt',18,6.43,3,347,18,38,5.231308,0.216314,4.438082,123
'Entire home/apt',18,3.03,19,328,18,52,10.491747,0.313505,5.551042,238
'Private room',0,0,7,358,0,-1,10.576269,0.109669,1.903841,999
'Entire home/apt',0,0,525,302,0,-1,10.649856,0.446569,1.582133,213
'Entire home/apt',0,0,525,0,0,-1,10.649856,0.446569,1.582133,368
'Entire home/apt',1,0.34,14,365,1,122,10.00705,0.148879,1.232066,141
'Entire home/apt',0,0,14,365,0,-1,9.992986,0.128237,1.234203,151
'Entire home/apt',1,0.21,14,347,1,174,9.989141,0.115183,1.243913,168
'Private room',15,2.39,10,351,15,54,7.885186,0.551194,2.616497,150
'Private room',18,2.86,10,356,18,75,7.732582,0.448769,2.692923,53
'Entire home/apt',41,6.18,16,51,41,40,13.308394,0.172825,6.580719,96
'Entire home/apt',33,4.95,16,43,33,42,13.278086,0.220453,6.672962,129
'Entire home/apt',38,5.76,16,54,38,37,13.365903,0.13887,6.585058,106
'Entire home/apt',8,6.15,4,101,8,38,8.883783,0.39425,1.995133,374
'Entire home/apt',14,3.44,1,355,14,45,10.982559,0.145038,9.386167,407
'Shared room',2,0.44,3,353,2,79,5.999533,0.42796,3.244966,45
'Entire home/apt',14,3.82,2,347,14,45,8.870756,0.090521,1.346728,679
'Private room',1,0.79,3,362,1,72,7.413594,0.418041,7.747191,120
'Private room',46,7.19,14,300,46,44,7.780647,0.406098,2.152929,49
'Entire home/apt',0,0,11,0,0,-1,10.408025,0.242571,1.534261,98
'Entire home/apt',21,3.39,1,166,21,60,8.428486,0.611651,3.588322,173
'Entire home/apt',24,3.73,12,78,24,39,11.851857,0.097866,5.135733,77
'Entire home/apt',1,0.28,1,199,1,142,12.615477,0.319086,6.895434,91
'Private room',21,3.39,8,349,21,53,6.614583,0.833904,3.318527,41
'Private room',15,3,8,356,15,57,6.676587,0.735538,3.343013,54
'Private room',16,2.59,8,357,16,60,6.638157,0.737254,3.43252,52
'Private room',15,2.39,8,358,15,70,6.601092,0.846781,3.326016,47
'Entire home/apt',32,4.97,2,156,32,49,7.145074,0.159398,2.394371,205
'Entire home/apt',29,4.81,1,160,29,36,9.597032,0.332765,4.859098,693
'Private room',0,0,1,166,0,-1,8.89109,0.493265,8.739374,59
'Private room',2,0.55,18,90,2,124,7.228732,0.225136,4.818418,49
'Private room',0,0,18,90,0,-1,5.760737,1.034011,5.441698,35
'Private room',0,0,18,80,0,-1,5.685974,1.130393,5.412299,37
'Entire home/apt',36,5.84,3,341,36,37,7.885003,0.530019,4.552889,335
'Entire home/apt',0,0,525,0,0,-1,9.451201,0.139692,0.601311,182
'Entire home/apt',0,0,525,0,0,-1,8.904973,0.023596,0.747238,138
'Entire home/apt',10,2.31,4,235,10,110,10.322112,0.075006,2.556545,188
'Entire home/apt',20,3.64,1,345,20,45,6.542388,0.306127,3.940672,160
'Entire home/apt',27,4.35,2,319,27,44,6.991564,0.210189,2.550874,215
'Entire home/apt',0,0,525,291,0,-1,9.006751,0.172202,0.84449,268
'Entire home/apt',18,2.98,3,355,18,50,13.498702,0.115192,7.984721,181
'Private room',9,1.58,14,358,9,45,6.248281,1.111122,3.650744,43
'Entire home/apt',0,0,1,279,0,-1,7.647665,0.640791,7.774371,114
'Entire home/apt',13,2.75,1,355,13,51,7.074493,0.359689,3.441123,254
'Private room',6,1.04,3,351,6,47,6.290197,1.063496,3.575409,46
'Entire home/apt',12,5.29,1,105,12,49,11.277992,0.471277,4.714024,430
'Private room',11,2.5,3,346,11,36,6.396323,0.994825,3.530337,47
'Entire home/apt',0,0,525,311,0,-1,10.145615,0.147772,2.409433,107
'Entire home/apt',0,0,525,163,0,-1,10.145615,0.147772,2.409433,130
